id,pred,pred_proba
40000,0,0.24
40001,0,0.02
40002,0,0.13
40003,0,0.05
40004,0,0.25
40005,0,0.06
40006,0,0
40007,0,0.04
40008,0,0.1
40009,0,0.03
40010,1,0.62
40011,0,0.03
40012,0,0.14
40013,1,0.53
40014,0,0.25
40015,0,0
40016,0,0.22
40017,0,0.02
40018,0,0.41
40019,0,0.2
40020,0,0.01
40021,0,0.09
40022,0,0.05
40023,0,0
40024,0,0.01
40025,0,0.02
40026,0,0.02
40027,0,0
40028,0,0
40029,0,0.08
40030,0,0.04
40031,1,0.56
40032,0,0.13
40033,0,0.07
40034,1,0.54
40035,0,0.04
40036,0,0.16
40037,0,0.33
40038,0,0
40039,0,0.19
40040,0,0.01
40041,1,0.6
40042,0,0.16
40043,0,0.07
40044,0,0.05
40045,0,0.48
40046,0,0.04
40047,0,0
40048,0,0.03
40049,0,0.3
40050,0,0.04
40051,0,0.02
40052,0,0.13
40053,0,0
40054,0,0.46
40055,0,0.36
40056,0,0.01
40057,0,0.04
40058,0,0.39
40059,0,0.04
40060,0,0.02
40061,0,0.02
40062,0,0.09
40063,0,0
40064,0,0.04
40065,0,0
40066,0,0.06
40067,0,0.01
40068,0,0.15
40069,0,0.04
40070,0,0.41
40071,1,0.58
40072,0,0.02
40073,0,0.15
40074,0,0
40075,0,0.36
40076,0,0.06
40077,0,0.3
40078,0,0.05
40079,0,0.28
40080,0,0.06
40081,1,0.75
40082,0,0.44
40083,0,0
40084,0,0.07
40085,0,0.03
40086,0,0.11
40087,0,0
40088,0,0.04
40089,0,0.04
40090,0,0.03
40091,0,0.01
40092,0,0.01
40093,0,0.01
40094,0,0.02
40095,0,0.07
40096,0,0.04
40097,0,0.01
40098,0,0.39
40099,0,0.41
40100,0,0.01
40101,0,0.01
40102,1,0.66
40103,0,0
40104,0,0.02
40105,0,0.01
40106,0,0.21
40107,0,0
40108,0,0.11
40109,0,0
40110,0,0
40111,0,0.21
40112,0,0.02
40113,0,0.12
40114,0,0.1
40115,0,0
40116,0,0.05
40117,0,0.08
40118,0,0.04
40119,0,0.02
40120,0,0
40121,0,0.36
40122,0,0.05
40123,0,0.02
40124,0,0
40125,0,0.02
40126,0,0.01
40127,0,0.05
40128,0,0
40129,0,0.43
40130,0,0.17
40131,0,0.11
40132,0,0.03
40133,0,0.01
40134,0,0.18
40135,0,0.05
40136,0,0
40137,0,0
40138,0,0
40139,0,0.09
40140,0,0.21
40141,0,0.07
40142,0,0.44
40143,0,0.06
40144,0,0.07
40145,0,0.07
40146,0,0.4
40147,0,0.08
40148,0,0.1
40149,0,0.04
40150,0,0.41
40151,0,0
40152,1,0.71
40153,0,0
40154,1,0.55
40155,0,0.02
40156,0,0.01
40157,0,0.06
40158,0,0
40159,0,0.02
40160,0,0
40161,0,0.3
40162,0,0
40163,0,0.01
40164,0,0.01
40165,0,0
40166,0,0.05
40167,0,0.04
40168,0,0.01
40169,1,0.62
40170,0,0.08
40171,0,0.03
40172,0,0
40173,0,0.05
40174,0,0.24
40175,0,0.01
40176,0,0.1
40177,0,0.25
40178,0,0
40179,0,0.01
40180,0,0.01
40181,0,0.01
40182,0,0.15
40183,0,0
40184,0,0
40185,0,0.08
40186,0,0
40187,0,0.04
40188,0,0.03
40189,0,0
40190,0,0.1
40191,0,0.28
40192,0,0.04
40193,0,0
40194,0,0
40195,0,0.03
40196,0,0.03
40197,0,0
40198,0,0.07
40199,0,0.23
40200,0,0.3
40201,0,0.04
40202,0,0.06
40203,0,0.11
40204,0,0.01
40205,0,0.45
40206,1,0.67
40207,0,0.1
40208,0,0.01
40209,0,0.09
40210,0,0.13
40211,0,0.13
40212,0,0.31
40213,0,0.01
40214,0,0
40215,0,0.02
40216,0,0
40217,0,0.03
40218,0,0.22
40219,0,0.06
40220,0,0.05
40221,0,0.15
40222,0,0.01
40223,0,0.08
40224,0,0.07
40225,0,0.05
40226,0,0.04
40227,0,0.03
40228,0,0.05
40229,0,0.01
40230,0,0
40231,0,0.33
40232,0,0.04
40233,0,0.11
40234,0,0
40235,0,0.05
40236,1,0.7
40237,0,0
40238,0,0.15
40239,0,0.2
40240,0,0.06
40241,0,0.01
40242,0,0.02
40243,0,0.03
40244,0,0.03
40245,0,0
40246,0,0.05
40247,0,0
40248,0,0.17
40249,0,0.34
40250,1,0.56
40251,0,0.02
40252,0,0.06
40253,0,0.03
40254,0,0.12
40255,0,0.05
40256,0,0.05
40257,0,0.04
40258,0,0.29
40259,0,0.27
40260,0,0.02
40261,0,0
40262,0,0
40263,0,0
40264,0,0.38
40265,0,0.07
40266,0,0.08
40267,0,0.01
40268,0,0.09
40269,0,0.01
40270,0,0.29
40271,0,0.15
40272,0,0.02
40273,0,0.13
40274,0,0.19
40275,0,0.01
40276,0,0
40277,0,0.05
40278,0,0.06
40279,0,0.24
40280,0,0.04
40281,0,0.08
40282,0,0
40283,0,0.32
40284,0,0.02
40285,0,0.11
40286,0,0.01
40287,0,0.08
40288,0,0.31
40289,0,0.02
40290,0,0.06
40291,0,0.03
40292,0,0.08
40293,0,0.08
40294,0,0.03
40295,0,0.04
40296,0,0.01
40297,0,0.01
40298,0,0
40299,0,0.01
40300,0,0.16
40301,0,0
40302,0,0.02
40303,0,0.28
40304,0,0
40305,0,0
40306,0,0.04
40307,0,0
40308,0,0.03
40309,1,0.66
40310,0,0
40311,0,0.46
40312,0,0.01
40313,0,0.01
40314,0,0
40315,0,0
40316,0,0.48
40317,0,0
40318,0,0.02
40319,0,0
40320,0,0.21
40321,0,0
40322,0,0.03
40323,0,0.05
40324,0,0.05
40325,0,0.02
40326,0,0.19
40327,0,0.14
40328,0,0.04
40329,0,0.11
40330,0,0.05
40331,0,0.01
40332,0,0.13
40333,0,0.07
40334,0,0.01
40335,0,0.08
40336,0,0.01
40337,0,0.29
40338,0,0
40339,0,0.04
40340,0,0.4
40341,0,0.36
40342,0,0.11
40343,0,0.03
40344,0,0.49
40345,0,0.07
40346,0,0.13
40347,0,0.07
40348,0,0.13
40349,0,0.02
40350,0,0.03
40351,1,0.54
40352,0,0.02
40353,1,0.68
40354,0,0
40355,0,0
40356,1,0.57
40357,0,0.17
40358,0,0.48
40359,0,0.43
40360,0,0.13
40361,1,0.79
40362,0,0.01
40363,0,0.01
40364,0,0.01
40365,0,0.39
40366,0,0.03
40367,0,0.02
40368,0,0.02
40369,0,0
40370,0,0.11
40371,0,0
40372,0,0.01
40373,0,0.16
40374,0,0.01
40375,0,0.32
40376,0,0.04
40377,0,0.1
40378,0,0
40379,0,0.02
40380,0,0.09
40381,0,0.01
40382,0,0.02
40383,1,0.77
40384,0,0.3
40385,0,0.02
40386,0,0.18
40387,0,0
40388,0,0.01
40389,0,0.01
40390,0,0.07
40391,0,0.08
40392,0,0.08
40393,0,0
40394,0,0.13
40395,0,0.02
40396,0,0.02
40397,0,0.01
40398,0,0.01
40399,0,0.17
40400,0,0.02
40401,0,0
40402,0,0.02
40403,0,0
40404,0,0
40405,0,0.11
40406,0,0.06
40407,0,0.02
40408,0,0.21
40409,0,0.07
40410,0,0.4
40411,1,0.54
40412,0,0.3
40413,0,0.04
40414,0,0
40415,0,0.08
40416,0,0.01
40417,0,0.01
40418,0,0
40419,0,0.08
40420,1,0.53
40421,0,0.3
40422,0,0.03
40423,0,0.02
40424,0,0
40425,0,0.43
40426,0,0.14
40427,0,0.02
40428,0,0.01
40429,0,0.24
40430,0,0.47
40431,0,0.02
40432,0,0.05
40433,0,0.1
40434,0,0.02
40435,0,0.03
40436,0,0.03
40437,0,0
40438,0,0.31
40439,0,0.02
40440,0,0
40441,0,0.07
40442,0,0
40443,0,0.02
40444,0,0
40445,0,0
40446,1,0.76
40447,0,0.06
40448,0,0.12
40449,0,0
40450,0,0.01
40451,0,0.06
40452,0,0.02
40453,0,0.12
40454,0,0.02
40455,0,0
40456,0,0.07
40457,0,0.11
40458,0,0.41
40459,0,0.14
40460,0,0.24
40461,0,0.01
40462,0,0.2
40463,0,0
40464,0,0
40465,0,0.05
40466,0,0.28
40467,0,0.02
40468,0,0.04
40469,0,0
40470,0,0
40471,0,0
40472,0,0
40473,0,0
40474,0,0.03
40475,0,0.01
40476,0,0.01
40477,0,0.27
40478,0,0.01
40479,0,0.1
40480,0,0.4
40481,0,0.09
40482,0,0
40483,1,0.63
40484,0,0.02
40485,0,0.07
40486,0,0.15
40487,0,0.01
40488,1,0.62
40489,0,0.06
40490,0,0
40491,0,0.03
40492,0,0.33
40493,0,0
40494,0,0.04
40495,0,0.18
40496,0,0.03
40497,0,0.01
40498,0,0.01
40499,0,0.26
40500,0,0
40501,0,0.01
40502,0,0.05
40503,0,0.03
40504,0,0.01
40505,0,0
40506,0,0.16
40507,0,0.08
40508,0,0.05
40509,0,0.06
40510,0,0.09
40511,0,0.05
40512,0,0
40513,0,0
40514,0,0.01
40515,0,0
40516,0,0.4
40517,0,0.01
40518,0,0.16
40519,0,0.24
40520,0,0.42
40521,0,0.17
40522,0,0.36
40523,0,0
40524,0,0
40525,0,0
40526,0,0
40527,0,0
40528,0,0
40529,0,0.01
40530,0,0.34
40531,0,0.01
40532,0,0
40533,1,0.56
40534,0,0.12
40535,0,0.03
40536,0,0.35
40537,0,0.01
40538,0,0.03
40539,0,0.05
40540,0,0.16
40541,0,0.18
40542,0,0.35
40543,0,0.11
40544,0,0.14
40545,0,0.01
40546,0,0.01
40547,0,0.15
40548,0,0.16
40549,0,0.08
40550,0,0.05
40551,0,0
40552,0,0.01
40553,0,0.32
40554,0,0
40555,0,0.12
40556,0,0
40557,0,0.01
40558,0,0
40559,0,0.09
40560,0,0.01
40561,0,0.05
40562,0,0
40563,0,0.11
40564,0,0.03
40565,0,0.44
40566,0,0
40567,0,0
40568,0,0.16
40569,0,0
40570,0,0.02
40571,0,0.35
40572,0,0.07
40573,0,0.12
40574,0,0.4
40575,0,0.23
40576,0,0.02
40577,1,0.66
40578,0,0.12
40579,0,0
40580,0,0.03
40581,0,0.02
40582,0,0.03
40583,0,0.17
40584,0,0.01
40585,0,0.11
40586,0,0.03
40587,0,0.02
40588,0,0.05
40589,0,0.08
40590,0,0.01
40591,0,0.05
40592,0,0.07
40593,0,0.09
40594,0,0.05
40595,0,0.07
40596,0,0.04
40597,1,0.58
40598,0,0
40599,0,0
40600,0,0.16
40601,0,0.11
40602,0,0.1
40603,0,0.49
40604,0,0.02
40605,0,0.09
40606,0,0.04
40607,0,0
40608,0,0
40609,0,0.01
40610,0,0
40611,0,0.25
40612,0,0.01
40613,0,0
40614,0,0
40615,0,0.2
40616,0,0
40617,0,0.09
40618,0,0
40619,0,0.01
40620,0,0
40621,0,0.01
40622,0,0.1
40623,0,0.01
40624,0,0.07
40625,0,0.3
40626,0,0.01
40627,1,0.58
40628,0,0
40629,0,0.07
40630,0,0.09
40631,0,0
40632,0,0.07
40633,0,0.09
40634,0,0
40635,0,0.16
40636,0,0
40637,0,0.06
40638,0,0.01
40639,0,0
40640,0,0.07
40641,0,0
40642,0,0.04
40643,0,0.02
40644,0,0.01
40645,0,0.17
40646,0,0.04
40647,0,0.12
40648,0,0.02
40649,0,0.27
40650,0,0.3
40651,0,0
40652,0,0.48
40653,0,0
40654,1,0.66
40655,0,0.05
40656,0,0.11
40657,0,0.38
40658,0,0.01
40659,0,0
40660,0,0.04
40661,0,0.19
40662,0,0
40663,0,0
40664,0,0.13
40665,0,0.01
40666,0,0.03
40667,0,0
40668,0,0.01
40669,0,0.01
40670,0,0.02
40671,0,0.03
40672,0,0.25
40673,0,0.02
40674,0,0.04
40675,0,0.04
40676,0,0
40677,0,0.41
40678,1,0.57
40679,0,0.28
40680,0,0.02
40681,0,0.35
40682,0,0.06
40683,0,0.19
40684,0,0.17
40685,0,0
40686,0,0.02
40687,0,0.05
40688,0,0
40689,0,0.06
40690,0,0.12
40691,0,0.02
40692,0,0.01
40693,1,0.61
40694,0,0.01
40695,0,0.08
40696,0,0.11
40697,0,0.04
40698,0,0.45
40699,0,0.1
40700,0,0.24
40701,0,0.01
40702,0,0.02
40703,0,0.11
40704,0,0
40705,0,0
40706,0,0.02
40707,0,0.09
40708,0,0.07
40709,0,0.01
40710,0,0.08
40711,0,0.13
40712,0,0.01
40713,0,0.04
40714,0,0
40715,0,0
40716,0,0.03
40717,0,0.07
40718,0,0.06
40719,0,0.06
40720,0,0.18
40721,0,0.04
40722,0,0
40723,0,0.01
40724,0,0.11
40725,1,0.55
40726,0,0.05
40727,0,0.43
40728,0,0.04
40729,0,0
40730,0,0.31
40731,0,0.06
40732,0,0.24
40733,0,0
40734,0,0.01
40735,0,0.02
40736,0,0.14
40737,0,0.06
40738,0,0.15
40739,0,0.01
40740,0,0.01
40741,0,0.15
40742,0,0
40743,0,0.08
40744,0,0
40745,0,0.24
40746,0,0
40747,0,0
40748,0,0
40749,0,0
40750,0,0.25
40751,0,0
40752,0,0.03
40753,0,0.01
40754,0,0.08
40755,0,0.07
40756,0,0.05
40757,0,0
40758,0,0.04
40759,0,0
40760,0,0.01
40761,0,0.16
40762,0,0.26
40763,0,0.31
40764,0,0.47
40765,0,0.01
40766,0,0.34
40767,0,0.04
40768,0,0
40769,0,0.11
40770,0,0.05
40771,0,0.01
40772,0,0.26
40773,0,0.06
40774,0,0.05
40775,0,0.01
40776,0,0.15
40777,0,0.03
40778,0,0.02
40779,0,0.2
40780,0,0.03
40781,0,0.03
40782,0,0.04
40783,0,0.06
40784,0,0.21
40785,0,0.04
40786,0,0.03
40787,0,0.03
40788,0,0.02
40789,0,0.03
40790,0,0.24
40791,0,0.04
40792,0,0.09
40793,0,0.08
40794,0,0.08
40795,0,0
40796,0,0.01
40797,0,0.24
40798,0,0.01
40799,0,0.1
40800,0,0
40801,0,0
40802,0,0
40803,0,0.48
40804,0,0.02
40805,0,0.01
40806,0,0.02
40807,0,0
40808,0,0
40809,0,0
40810,0,0.25
40811,0,0.01
40812,0,0.02
40813,0,0
40814,0,0.01
40815,0,0.4
40816,0,0.02
40817,1,0.72
40818,0,0.08
40819,0,0
40820,0,0
40821,0,0.12
40822,1,0.62
40823,0,0.02
40824,1,0.72
40825,0,0.01
40826,0,0.33
40827,0,0.16
40828,0,0
40829,0,0.09
40830,0,0.03
40831,0,0.02
40832,0,0
40833,0,0.2
40834,0,0.05
40835,0,0
40836,0,0
40837,0,0
40838,0,0.09
40839,0,0.01
40840,0,0.05
40841,0,0
40842,0,0.46
40843,0,0.22
40844,0,0.01
40845,0,0.06
40846,0,0.02
40847,0,0.03
40848,0,0
40849,0,0.3
40850,0,0.05
40851,0,0.02
40852,0,0.03
40853,0,0
40854,0,0.05
40855,1,0.6
40856,0,0.01
40857,0,0.37
40858,0,0.07
40859,0,0.01
40860,0,0.21
40861,0,0.16
40862,0,0.02
40863,0,0.05
40864,0,0.17
40865,0,0.1
40866,0,0.27
40867,0,0.03
40868,1,0.66
40869,0,0.07
40870,0,0.05
40871,0,0
40872,0,0.08
40873,0,0.03
40874,0,0.05
40875,0,0.26
40876,0,0.03
40877,0,0.28
40878,0,0.02
40879,0,0.2
40880,0,0.09
40881,0,0.05
40882,0,0.03
40883,0,0.1
40884,0,0.06
40885,0,0.14
40886,0,0.03
40887,0,0.29
40888,0,0.02
40889,0,0
40890,0,0
40891,0,0.07
40892,0,0.08
40893,0,0.01
40894,0,0.01
40895,0,0.15
40896,0,0
40897,0,0.03
40898,0,0.09
40899,0,0.32
40900,0,0.08
40901,0,0.07
40902,0,0
40903,0,0
40904,0,0
40905,0,0
40906,0,0
40907,0,0
40908,0,0.01
40909,0,0
40910,0,0.25
40911,0,0.22
40912,0,0.16
40913,1,0.51
40914,0,0.02
40915,0,0.04
40916,0,0.01
40917,0,0.14
40918,0,0.1
40919,1,0.72
40920,0,0.04
40921,0,0.01
40922,0,0
40923,0,0.1
40924,0,0.04
40925,0,0.03
40926,1,0.62
40927,0,0.29
40928,0,0.02
40929,0,0.05
40930,0,0.03
40931,0,0.04
40932,0,0.02
40933,0,0.01
40934,0,0
40935,1,0.62
40936,0,0
40937,0,0.35
40938,0,0.2
40939,0,0.1
40940,0,0
40941,0,0.04
40942,0,0.13
40943,0,0.01
40944,0,0.07
40945,0,0
40946,0,0.22
40947,0,0.04
40948,0,0.48
40949,0,0.01
40950,0,0.02
40951,0,0
40952,0,0
40953,0,0.08
40954,0,0
40955,0,0.03
40956,0,0.29
40957,1,0.51
40958,0,0
40959,0,0.01
40960,0,0.08
40961,0,0.04
40962,0,0.03
40963,0,0.13
40964,0,0.01
40965,0,0
40966,0,0.09
40967,0,0.07
40968,0,0.03
40969,0,0.02
40970,0,0.11
40971,0,0.14
40972,0,0.01
40973,0,0.28
40974,0,0.03
40975,0,0.3
40976,0,0.3
40977,0,0.01
40978,0,0.02
40979,0,0.2
40980,0,0.03
40981,0,0
40982,0,0.01
40983,0,0
40984,0,0
40985,0,0
40986,0,0.04
40987,0,0.32
40988,0,0.13
40989,0,0.07
40990,0,0.01
40991,0,0.19
40992,0,0.16
40993,0,0.06
40994,0,0.08
40995,0,0.03
40996,0,0.02
40997,0,0.37
40998,0,0.02
40999,0,0.01
41000,0,0
41001,0,0.03
41002,0,0.08
41003,0,0.05
41004,0,0
41005,0,0.33
41006,0,0.03
41007,0,0.15
41008,0,0
41009,0,0
41010,0,0.02
41011,0,0.01
41012,0,0
41013,0,0.01
41014,0,0
41015,0,0
41016,0,0
41017,1,0.62
41018,0,0.11
41019,0,0.06
41020,0,0
41021,1,0.76
41022,0,0
41023,0,0.02
41024,0,0.09
41025,0,0.38
41026,0,0.04
41027,0,0
41028,0,0.13
41029,0,0.02
41030,0,0.02
41031,0,0
41032,0,0
41033,0,0.05
41034,0,0
41035,0,0.03
41036,0,0.01
41037,0,0.18
41038,1,0.51
41039,0,0.05
41040,0,0.12
41041,0,0
41042,0,0.01
41043,0,0.01
41044,0,0.02
41045,0,0.02
41046,0,0.36
41047,0,0.32
41048,0,0.19
41049,0,0.02
41050,0,0
41051,0,0
41052,1,0.54
41053,0,0
41054,1,0.58
41055,0,0.06
41056,0,0.03
41057,0,0
41058,0,0.01
41059,0,0
41060,0,0.2
41061,0,0.03
41062,0,0
41063,0,0.01
41064,0,0.02
41065,0,0.36
41066,0,0.18
41067,0,0
41068,0,0.01
41069,0,0
41070,0,0
41071,1,0.73
41072,0,0
41073,0,0.06
41074,0,0.15
41075,0,0
41076,0,0.04
41077,0,0.01
41078,0,0.16
41079,0,0.02
41080,0,0.24
41081,1,0.67
41082,0,0
41083,1,0.71
41084,0,0.02
41085,0,0.05
41086,0,0.02
41087,0,0.01
41088,0,0.18
41089,0,0.01
41090,0,0.17
41091,0,0
41092,0,0.09
41093,0,0.02
41094,0,0.14
41095,0,0.05
41096,0,0
41097,0,0.4
41098,0,0.03
41099,0,0.04
41100,0,0.03
41101,0,0.18
41102,0,0.37
41103,0,0.03
41104,0,0.02
41105,0,0
41106,0,0.14
41107,0,0.03
41108,0,0.43
41109,0,0
41110,0,0.02
41111,0,0.21
41112,0,0.46
41113,0,0.01
41114,0,0.33
41115,0,0.08
41116,0,0.02
41117,0,0.05
41118,0,0.04
41119,0,0.06
41120,0,0.02
41121,0,0.28
41122,0,0
41123,0,0
41124,0,0.04
41125,0,0.08
41126,0,0.31
41127,0,0.01
41128,0,0.24
41129,0,0.01
41130,0,0.01
41131,0,0.03
41132,0,0.07
41133,0,0.03
41134,0,0.28
41135,0,0.03
41136,0,0
41137,0,0
41138,0,0.1
41139,0,0.02
41140,0,0
41141,0,0.44
41142,0,0.01
41143,0,0
41144,0,0.18
41145,0,0
41146,0,0
41147,0,0.07
41148,0,0.04
41149,0,0.02
41150,0,0.05
41151,0,0.4
41152,0,0.04
41153,0,0.01
41154,0,0
41155,0,0.38
41156,0,0.16
41157,0,0.09
41158,0,0.01
41159,0,0.15
41160,0,0.01
41161,0,0.12
41162,0,0
41163,0,0.04
41164,0,0.05
41165,0,0.09
41166,0,0.04
41167,0,0.2
41168,0,0.13
41169,0,0.04
41170,0,0.25
41171,0,0.16
41172,0,0.02
41173,0,0.01
41174,0,0.41
41175,0,0.05
41176,0,0.01
41177,0,0.2
41178,0,0.03
41179,0,0.3
41180,0,0
41181,0,0
41182,0,0.05
41183,0,0.02
41184,0,0.08
41185,0,0.36
41186,0,0.1
41187,0,0
41188,0,0
41189,0,0.36
41190,0,0.03
41191,0,0.24
41192,1,0.72
41193,0,0
41194,0,0
41195,0,0.07
41196,0,0
41197,0,0.02
41198,0,0
41199,0,0.04
41200,0,0
41201,0,0.08
41202,0,0
41203,0,0
41204,0,0.01
41205,0,0.06
41206,0,0.23
41207,0,0.05
41208,0,0
41209,0,0.04
41210,0,0.05
41211,0,0
41212,0,0.03
41213,0,0.17
41214,1,0.62
41215,0,0.2
41216,0,0.01
41217,0,0.01
41218,0,0.27
41219,0,0.24
41220,0,0
41221,0,0.11
41222,0,0.01
41223,0,0.14
41224,0,0.42
41225,0,0.11
41226,0,0
41227,0,0.44
41228,0,0.01
41229,0,0.02
41230,0,0.02
41231,0,0.44
41232,0,0.05
41233,0,0
41234,0,0.07
41235,0,0.01
41236,0,0.05
41237,0,0.18
41238,0,0.03
41239,0,0.27
41240,0,0
41241,0,0
41242,0,0.06
41243,0,0.01
41244,0,0.03
41245,0,0.17
41246,0,0.48
